Longitude,Latitude,Name of Enterprise / Group,Ownership and Legal Structure,Primary Contact Person,Position / Role,Phone Number,Physical Street Address / Landmark,E-mail Address,Operational Status, TIN, BRELA Registration Number,1.7 TBS / ZFDA Registration Number,SIDO Registration Number, Operational Scale Classification,Primary Raw Materials Sourced and Used,Primary Sourcing Channels,Months of Severe Shortage / Price Spikes,Estimated Post-Harvest Loss (%),Raw Material Storage Capacity,Storage Capacity Unit, Main Storage Challenges, Nutrient-Dense Crops / Ingredients Cultivated or Harvested, Total Area / Harvest Scale, Area / Harvest Unit,Average Yield per Harvest / Season,Yield Unit, Harvest Cycles per Year,Proximity to Major Road (km),Proximity to Market (km),Accessibility Status,Infrastructure Status,Sanitary Status,Data Status
39.382416,-6.887538,Safina Sea and Farm Foods,Medium-Scale Commercial Enterprise,Hassan Massawe,Owner-Manager,700000035,"Near Mji Mwema Market, Kigamboni, Dar es Salaam",safina.sea.and.farm.foods@example.invalid,Active (Operating year-round),TIN-036,BRELA-036,Not registered,Not applicable,Medium-scale (50–99 employees),High-Iron and Zinc Beans; Orange-Fleshed Sweet Potatoes (OFSP),Open-Air Public / Wholesale Markets,Jan; Jun,10.7,4.9,Tons,Mold/Aflatoxins; Insect Pests,Orange-Fleshed Sweet Potatoes (OFSP),10,Hectares,3.9,Tons,Year-round,3.91,7.67,Low Accessibility,Moderate,Low,HYPOTHETICAL / TESTING DATA
39.422842,-7.093914,Imara Women Nutrition Group,Informal Grassroots Producer,Ramadhani Massawe,Farm Supervisor,700000036,"Near Somangila Market, Somangila, Dar es Salaam",imara.women.nutrition.group@example.invalid,Active (Operating year-round),Not registered,Not registered,Not registered,Not applicable,Medium-scale (50–99 employees),Maize; Soybeans; Groundnuts / Bambara Groundnuts; High-Iron and Zinc Beans,Contracted Smallholder Farmers / Outgrowers; Commercial Aggregators / Middlemen,Nov; May,26.1,104,Bags,Moisture/Humidity,High-Iron and Zinc Beans,10.6,Hectares,59,100kg Bags,2 Seasons,1.16,7.43,Low Accessibility,High,High,HYPOTHETICAL / TESTING DATA
39.112143,-6.965982,Ufanisi Food Producers,Women-Led Cooperative,Joseph Mwita,Farm Supervisor,700000037,"Near Pugu Kajiungeni Market, Pugu, Dar es Salaam",ufanisi.food.producers@example.invalid,Seasonal (Operating only during harvest/raw material availability),TIN-038,BRELA-038,Not registered,Not applicable,Small-scale (5–49 employees),Maize; Edible Seaweeds,Own Farm / Direct Harvesting; Open-Air Public / Wholesale Markets; Contracted Smallholder Farmers / Outgrowers,Nov; Oct,24.2,89,Bags,None; Mold/Aflatoxins,Orange-Fleshed Sweet Potatoes (OFSP); Small Pelagic Fish (Dagaa) / Freshwater Fish; Edible Seaweed,9.3,Acres,3286,Kg,2 Seasons,2.95,4.92,Moderately Accessible,High,High,HYPOTHETICAL / TESTING DATA
39.218799,-6.852354,Rafiki Nutri Crops,Youth Cooperative (Majority owners aged 18–35),Neema Mrema,Secretary,700000038,"Near TAZARA Railway Station, Chang'ombe, Dar es Salaam",rafiki.nutri.crops@example.invalid,Active (Operating year-round),TIN-039,BRELA-039,Not registered,Not applicable,Micro-enterprise (< 5 employees),Milk / Dairy Products; Groundnuts / Bambara Groundnuts; Soybeans; Whole Eggs / Powdered Eggs,Open-Air Public / Wholesale Markets,Oct; Jan,13.3,107,Bags,None,Bambara Groundnuts / Soybeans; Orange-Fleshed Sweet Potatoes (OFSP); Small Pelagic Fish (Dagaa) / Freshwater Fish,4,Number of Boats (for Dagaa),36,100kg Bags,1 Season,4.43,8.72,Low Accessibility,Low,Moderate,HYPOTHETICAL / TESTING DATA
39.156904,-6.768112,Kilimo Bora Dar Group,Women-Led Cooperative,Ramadhani Mrema,Owner-Manager,700000039,"Near Mbezi Beach Africana Bus Stand, Mbezi Beach, Dar es Salaam",kilimo.bora.dar.group@example.invalid,Active (Operating year-round),TIN-040,BRELA-040,Not registered,Not applicable,Micro-enterprise (< 5 employees),Small Pelagic Fish (Dagaa / Omena); Whole Eggs / Powdered Eggs,Open-Air Public / Wholesale Markets; Commercial Aggregators / Middlemen,Oct,11.3,33,Bags,Lack of Cold Storage; Insect Pests,Small Pelagic Fish (Dagaa) / Freshwater Fish; High-Iron and Zinc Beans; Bambara Groundnuts / Soybeans,6.4,Acres,7,100kg Bags,Year-round,2.81,6.52,Low Accessibility,Moderate,High,HYPOTHETICAL / TESTING DATA
39.124948,-6.593219,Nuru Complementary Foods,Private Micro-Processing Enterprise,Mariam Mtemi,Farm Supervisor,700000040,"Near Mbweni Bus Stand, Mbweni, Dar es Salaam",nuru.complementary.foods@example.invalid,Seasonal (Operating only during harvest/raw material availability),TIN-041,BRELA-041,Not registered,Not applicable,Medium-scale (50–99 employees),Milk / Dairy Products; Edible Seaweeds; Small Pelagic Fish (Dagaa / Omena); Soybeans,Contracted Smallholder Farmers / Outgrowers; Own Farm / Direct Harvesting; Open-Air Public / Wholesale Markets,Jan; Apr,15.5,15.6,Tons,Moisture/Humidity,Bambara Groundnuts / Soybeans; Small Pelagic Fish (Dagaa) / Freshwater Fish; High-Iron and Zinc Beans,6,Number of Boats (for Dagaa),4.4,Tons,Year-round,3.74,6.98,Low Accessibility,Low,Low,HYPOTHETICAL / TESTING DATA
39.481483,-7.026484,Hekima Agro Nutrition,Medium-Scale Commercial Enterprise,Halima Mwakipesile,Owner-Manager,700000041,"Near Kimbiji Market, Kimbiji, Dar es Salaam",hekima.agro.nutrition@example.invalid,Active (Operating year-round),TIN-042,BRELA-042,Not registered,Not applicable,Small-scale (5–49 employees),Soybeans; Orange-Fleshed Sweet Potatoes (OFSP); Cassava / Banana / Plantain,Own Farm / Direct Harvesting; Open-Air Public / Wholesale Markets,Jun,7.8,15.2,Tons,None,High-Iron and Zinc Beans; Orange-Fleshed Sweet Potatoes (OFSP); Bambara Groundnuts / Soybeans,7,Number of Boats (for Dagaa),68,100kg Bags,2 Seasons,4.28,8.78,Low Accessibility,High,Moderate,HYPOTHETICAL / TESTING DATA
39.131857,-6.694467,Wakulima Jasiri Group,Youth Cooperative (Majority owners aged 18–35),Juma Mhando,Owner-Manager,700000042,"Near Wazo Hill Cement Junction, Wazo, Dar es Salaam",wakulima.jasiri.group@example.invalid,Active (Operating year-round),TIN-043,BRELA-043,Not registered,Not applicable,Micro-enterprise (< 5 employees),Edible Seaweeds; Cassava / Banana / Plantain; Orange-Fleshed Sweet Potatoes (OFSP); Milk / Dairy Products,Contracted Smallholder Farmers / Outgrowers; Own Farm / Direct Harvesting; Open-Air Public / Wholesale Markets,Oct; Jul,16.2,10.2,Tons,None,Bambara Groundnuts / Soybeans,1,Number of Boats (for Dagaa),1.5,Tons,2 Seasons,2.99,8.98,Low Accessibility,High,High,HYPOTHETICAL / TESTING DATA
39.187486,-6.853693,Zawadi Nutri Foods,Informal Grassroots Producer,Hassan Sanga,Secretary,700000043,"Near Tabata Segerea Bus Stand, Tabata, Dar es Salaam",zawadi.nutri.foods@example.invalid,Active (Operating year-round),Not registered,Not registered,Not registered,SIDO-044,Small-scale (5–49 employees),Edible Seaweeds; Milk / Dairy Products; Groundnuts / Bambara Groundnuts; Maize,Own Farm / Direct Harvesting; Contracted Smallholder Farmers / Outgrowers,Apr,5.9,64,Bags,Mold/Aflatoxins; None,Bambara Groundnuts / Soybeans; Orange-Fleshed Sweet Potatoes (OFSP),6,Number of Boats (for Dagaa),2.9,Tons,1 Season,3.05,5.62,Low Accessibility,High,Moderate,HYPOTHETICAL / TESTING DATA
39.237852,-6.835088,Mwambao Dagaa Group,Youth Cooperative (Majority owners aged 18–35),Neema Mushi,Secretary,700000044,"Near Lita Tower, Ilala, Dar es Salaam",mwambao.dagaa.group@example.invalid,Active (Operating year-round),TIN-045,BRELA-045,Not registered,Not applicable,Micro-enterprise (< 5 employees),Small Pelagic Fish (Dagaa / Omena); Groundnuts / Bambara Groundnuts; High-Iron and Zinc Beans; Orange-Fleshed Sweet Potatoes (OFSP),Own Farm / Direct Harvesting; Open-Air Public / Wholesale Markets,Jul; Feb,21.7,11.8,Tons,Insect Pests,Orange-Fleshed Sweet Potatoes (OFSP); High-Iron and Zinc Beans; Bambara Groundnuts / Soybeans,1.9,Acres,1572,Kg,2 Seasons,3.57,8.98,Low Accessibility,High,High,HYPOTHETICAL / TESTING DATA
39.339168,-6.913257,Kazi Yetu Food Enterprise,Women-Led Cooperative,Daudi Mushi,Owner-Manager,700000045,"Near Kibada Market / Bus Stand, Kibada, Dar es Salaam",kazi.yetu.food.enterprise@example.invalid,Active (Operating year-round),TIN-046,BRELA-046,Not registered,Not applicable,Small-scale (5–49 employees),Small Pelagic Fish (Dagaa / Omena); Maize,Contracted Smallholder Farmers / Outgrowers; Commercial Aggregators / Middlemen; Own Farm / Direct Harvesting,Sep,20.3,6.2,Tons,Insect Pests; Moisture/Humidity,High-Iron and Zinc Beans; Bambara Groundnuts / Soybeans,6.5,Acres,1.2,Tons,2 Seasons,2.22,5.74,Low Accessibility,High,High,HYPOTHETICAL / TESTING DATA
39.407576,-6.900708,Chanzo Cha Afya Group,Registered Farmer Association,Mariam Mnyika,Production Manager,700000046,"Near Kisarawe II Market, Kigamboni, Dar es Salaam",chanzo.cha.afya.group@example.invalid,Active (Operating year-round),TIN-047,BRELA-047,Not registered,Not applicable,Micro-enterprise (< 5 employees),High-Iron and Zinc Beans; Milk / Dairy Products,Own Farm / Direct Harvesting,May; Mar; Jan,10,7,Tons,Mold/Aflatoxins,Orange-Fleshed Sweet Potatoes (OFSP),5,Number of Boats (for Dagaa),622,Kg,2 Seasons,0.46,4.36,Moderately Accessible,Moderate,High,HYPOTHETICAL / TESTING DATA
39.469386,-7.084648,Mavuno Bora Producers,Women-Led Cooperative,Zawadi Kweka,Operations Coordinator,700000047,"Near Somangila Market, Somangila, Dar es Salaam",mavuno.bora.producers@example.invalid,Active (Operating year-round),TIN-048,BRELA-048,Not registered,Not applicable,Small-scale (5–49 employees),Sorghum / Finger Millet; Cassava / Banana / Plantain; Orange-Fleshed Sweet Potatoes (OFSP); High-Iron and Zinc Beans,Own Farm / Direct Harvesting,Jun; Sep; Jan,19.2,17,Bags,Lack of Cold Storage,High-Iron and Zinc Beans; Small Pelagic Fish (Dagaa) / Freshwater Fish; Edible Seaweed,2.6,Hectares,1611,Kg,2 Seasons,0.48,7.59,Low Accessibility,High,Moderate,HYPOTHETICAL / TESTING DATA
39.416361,-7.02104,Juhudi Grain and Legume Foods,Women-Led Cooperative,Hassan Massawe,Owner-Manager,700000048,"Near Vijibweni Market, Kigamboni, Dar es Salaam",juhudi.grain.and.legume.foods@example.invalid,Active (Operating year-round),TIN-049,BRELA-049,Not registered,Not applicable,Small-scale (5–49 employees),Small Pelagic Fish (Dagaa / Omena); Orange-Fleshed Sweet Potatoes (OFSP); Whole Eggs / Powdered Eggs,Contracted Smallholder Farmers / Outgrowers; Own Farm / Direct Harvesting; Commercial Aggregators / Middlemen,Jun; Feb; Jul,16.6,6.6,Tons,Moisture/Humidity; Mold/Aflatoxins,Edible Seaweed; Orange-Fleshed Sweet Potatoes (OFSP),2.3,Hectares,63,100kg Bags,1 Season,0.54,1.51,Highly Accessible,Low,Low,HYPOTHETICAL / TESTING DATA
39.286104,-6.911595,Azania Community Nutrition Group,Medium-Scale Commercial Enterprise,Agnes Magesa,Farm Supervisor,700000049,"Near Mbagala Rangi Tatu Bus Stand, Mbagala, Dar es Salaam",azania.community.nutrition.group@example.invalid,Active (Operating year-round),TIN-050,BRELA-050,Not registered,Not applicable,Micro-enterprise (< 5 employees),Cassava / Banana / Plantain; High-Iron and Zinc Beans; Whole Eggs / Powdered Eggs; Orange-Fleshed Sweet Potatoes (OFSP),Contracted Smallholder Farmers / Outgrowers; Commercial Aggregators / Middlemen; Open-Air Public / Wholesale Markets,Jul; May; Nov,9.8,158,Bags,None,Bambara Groundnuts / Soybeans; Small Pelagic Fish (Dagaa) / Freshwater Fish; Edible Seaweed,10.8,Hectares,32,100kg Bags,Year-round,4.42,8.82,Low Accessibility,High,Low,HYPOTHETICAL / TESTING DATA
